10.185.233.195;10.185.233.195;P55038SPKO1KAII;p55038spko1kaii.hq.szb.sbrf.ru;Microsoft Windows 7;
10.185.233.193;10.185.233.193;P55029SPOFFNILA;p55029spoffnila.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.190;10.185.233.190;P55038SPKO1ANGN;p55038spko1angn.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.189;10.185.233.189;P55038SPKO1BAUV;p55038spko1bauv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.188;10.185.233.188;P55038SPKO1FAAZ;p55038spko1faaz.hq.szb.sbrf.ru;Microsoft Windows Vista Business;
10.185.233.186;10.185.233.186;P55038SPKO1KOA1;p55038spko1koa1.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.185;10.185.233.185;P55038SPKO1KOIR;p55038spko1koir.hq.szb.sbrf.ru;Microsoft Windows Server 2008 SP1;
10.185.233.184;10.185.233.184;P55038SPKO1KOE4;p55038spko1koe4.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.182;10.185.233.182;P55038SPKO1SEE2;p55038spko1see2.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.181;10.185.233.181;P55038SPKO1GOSV;p55038spko1gosv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.179;10.185.233.179;P55038SPKO1IVEM;p55038spko1ivem.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.178;10.185.233.178;P55038SPKO1PAAA;p55038spko1paaa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.177;10.185.233.177;P55038SPKO1ANEV;p55038spko1anev.hq.szb.sbrf.ru;Microsoft Windows Vista SP2;
10.185.233.176;10.185.233.176;P55038SPKO1ZHIP;p55038spko1zhip.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.174;10.185.233.174;P55038SPKO1EGPV;p55038spko1egpv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.173;10.185.233.173;P55038SPKO1SELA;p55038spko1sela.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.172;10.185.233.172;P55038SPKO1KUSE;p55038spko1kuse.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.171;10.185.233.171;P55038SPKO1KUAA;p55038spko1kuaa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.170;10.185.233.170;P55038SPKO1ZHAG;p55038spko1zhag.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.169;10.185.233.169;P55038SPKO1KOEV;p55038spko1koev.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.168;10.185.233.168;S5509NP-LEPNEYV;s5509np-lepneyv.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.167;10.185.233.167;P55038SPKO1PLOP;p55038spko1plop.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.165;10.185.233.165;P55038SPKO1OFF3;p55038spko1off3.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008;
10.185.233.164;10.185.233.164;P55038SPKO1PEIP;p55038spko1peip.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
10.185.233.163;10.185.233.163;P55038SPKO1NOSA;p55038spko1nosa.hq.szb.sbrf.ru;Microsoft Windows 7 or Windows Server 2008 SP1;
